F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
3,224.88,-37.62,-25.66,2.12,272.22,-0.82,-6.93,-19.44,0.96,-19.02,9.89,-3.08,62,,True
3,176.88,-33.96,-27.04,0.8,236.22,-0.4,-8.97,-12.36,1.91,-17.94,7.89,-3.17,4,,False
30,136.88,-25.98,-16.8,14.2,293.22,-4.23,-3.57,-12.6,5.5,-8.16,20.89,-10.24,230,,True
0,164.88,-34.11,-24.52,1.58,278.22,-0.33,-7.04,-13.59,2.04,-17.58,5.89,-3.79,40,,True
30,176.88,-24.09,-23,13.5,863.22,-3.73,-3.1,-12.51,14.25,-16.5,10.89,-9.04,760,7.02,False
30,56.88,-23.01,-21.84,10.7,563.22,-1.64,-4.4,-22.23,8.8,-16.16,10.89,-8.84,390,,False
30,76.88,-23.34,-15.44,12.1,428.22,-4.3,-2.49,-11.58,9.3,-8.22,20.89,-10.54,100,,True
3,200.88,-32.4,-31.18,0.3,272.22,-0.06,-8,-13.8,1.56,-19.72,7.89,-3.7,112,7.64,False
30,156.88,-20.52,-16.04,10.3,878.22,-4,-2.02,-10.14,8,-13.1,20.89,-11.84,280,7.59,True
3,222.88,-36.15,-25.46,0.96,254.22,-0.18,-8.8,-15.18,0.6,-19.76,7.89,-3.58,30,9.31,True
30,126.88,-27.63,-18.04,14.2,863.22,-4.06,-3.61,-15.03,6.55,-10.26,20.89,-9.04,30,6.73,False
30,136.88,-22.95,-18.22,15.8,518.22,-4.31,-2.71,-14.34,6.25,-8.02,20.89,-10.09,670,,False
0,190.88,-31.89,-29.74,0.58,329.22,-0.11,-9.15,-15.54,1.19,-20.82,9.89,-3.72,132,8.24,True
30,16.88,-17.82,-15.58,18.2,398.22,-5.75,-1.92,-13.77,15.25,-12.1,10.89,-9.19,510,,True
3,224.88,-32.85,-27.74,1.58,359.22,0.52,-6.71,-22.32,0.46,-18.74,9.89,-3.28,36,8.36,False
30,166.88,-21.99,-19.76,10.3,458.22,-3.97,-2.87,-22.68,7.9,-13.72,20.89,-9.74,650,7.94,False
30,6.88,-21.9,-21.54,14.1,878.22,-4.12,-3.64,-12.81,13.8,-12.6,10.89,-9.34,220,,False
30,216.88,-27.27,-22.88,10.5,923.22,-2.09,-5.71,-13.44,5.95,-17.1,20.89,-8.19,660,5.9,False
3,158.88,-35.25,-25.78,0.02,263.22,0.9,-6.8,-12.99,1.28,-20.62,7.89,-3.57,6,,False
30,56.88,-29.43,-17.64,13.7,413.22,-4.54,-3.78,-15.45,6.7,-10.08,20.89,-8.74,540,8.01,False
3,188.88,-31.56,-25.66,1.38,287.22,-0.67,-7.04,-21.06,2.08,-18.18,7.89,-3.6,24,,True
30,16.88,-21.45,-18.88,11.1,668.22,-3.88,-4.23,-12.27,6.4,-14.3,10.89,-9.14,40,6.39,False
3,196.88,-36.51,-25.8,0.26,284.22,0.17,-7.76,-14.04,1.52,-21.04,7.89,-3.31,8,,False
3,186.88,-37.5,-32.58,0.96,281.22,2.1,-7.2,-18.81,0.12,-18.64,6.89,-3.78,18,,True
30,126.88,-30.78,-25.1,17.9,713.22,-5.01,-3.24,-11.79,5.55,-10.08,20.89,-8.44,300,7.09,False
30,-13.12,-31.11,-20.22,14,743.22,-3.35,-3.24,-8.82,11.95,-17.5,20.89,-8.14,70,,False
3,152.88,-33.06,-30.56,0.8,275.22,0.59,-6.67,-21.45,1.83,-18.46,7.89,-3.57,46,,False
3,202.88,-32.64,-25.44,1.54,350.22,-0.53,-7.35,-15.93,0.78,-17.44,7.89,-3.51,38,,False
3,176.88,-32.19,-27.18,0.24,299.22,-0.34,-8.47,-12.93,1.64,-17.64,7.89,-3.56,10,,False
30,6.88,-22.23,-17.98,13.9,683.22,-3.83,-4.97,-14.67,5.6,-11.02,10.89,-8.94,60,,False
3,208.88,-35.64,-25.7,1,305.22,0.85,-6.58,-18.54,0.9,-20.46,7.89,-3.64,112,,True
30,276.88,-21.18,-18.1,18.3,248.22,-4.98,-2.03,-10.29,7.75,-9.02,20.89,-7.49,520,,True
3,172.88,-37.59,-31.1,0.28,356.22,2.67,-9.51,-17.07,1.15,-18.02,7.89,-3.68,40,7.31,False
3,156.88,-44.01,-26.78,1.82,233.22,-0.46,-7.52,-15.69,2.13,-24.42,5.89,-2.96,6,7.14,False
3,204.88,-32.67,-26.78,0.8,353.22,-0.04,-7.3,-12.9,0.88,-17.92,9.89,-3.66,110,7.24,False
3,148.88,-32.25,-25.14,1.28,284.22,0.24,-8.96,-20.55,0.68,-23.38,5.89,-3.79,42,8.65,True
3,206.88,-37.02,-26.06,0.14,299.22,-0.68,-7.59,-12.75,1.35,-19.02,7.89,-3.48,82,,False
30,316.88,-19.53,-17.82,15.4,308.22,-2.12,-2.96,-20.52,5.3,-10.62,30.89,-8.04,280,,True
30,276.88,-21.63,-18.78,11.1,488.22,-1.59,-3.08,-11.04,13.75,-11.36,20.89,-8.59,500,8.02,False
30,6.88,-19.29,-19.2,17.2,353.22,-3.14,-4.03,-17.07,6.2,-8.34,10.89,-8.29,450,6.99,False
3,186.88,-33.3,-29.2,1.52,275.22,-0.86,-6.53,-13.23,0.77,-18.1,6.89,-3.89,46,8.81,True
3,212.88,-36.06,-26.48,1.46,323.22,-0.61,-8.39,-23.79,1.79,-18.64,9.89,-3.54,32,,True
3,160.88,-32.19,-25.18,1.32,236.22,1.16,-9.8,-14.88,0.89,-22.1,7.89,-3.66,12,,True
3,194.88,-32.7,-26.66,2.04,275.22,-0.42,-7.51,-21.57,1.41,-17.72,7.89,-3.3,38,,True
3,158.88,-34.89,-24.92,1.24,248.22,-1.11,-7.27,-17.07,1.17,-17.66,5.89,-3.82,32,,True
3,192.88,-38.58,-28.26,1.6,311.22,0.18,-6.84,-15.72,0.25,-19.02,9.89,-3.19,10,7.4,False
30,206.88,-20.88,-16.38,11.9,578.22,-4.81,-2.23,-12.51,10.95,-10.2,20.89,-9.89,710,7.61,False
30,296.88,-26.82,-18.24,11.3,713.22,-3.79,-2.7,-9,14.45,-12.08,20.89,-9.69,630,7.73,False
3,208.88,-42.12,-28.58,0.58,257.22,1.28,-7.13,-13.83,0.63,-17.38,9.89,-3.46,50,8.51,False
3,208.88,-35.16,-28.16,0.1,299.22,0.05,-8.65,-14.52,1.45,-21.82,9.89,-3.05,34,,False
30,226.88,-19.08,-17.1,16.5,683.22,-5.79,-1.42,-16.05,5.55,-8.1,20.89,-11.29,670,7.91,True
3,190.88,-34.95,-27.44,2,260.22,-0.76,-7.34,-13.41,1.92,-18.18,9.89,-3.21,10,,True
3,160.88,-38.49,-25.8,1.06,353.22,0.85,-9.29,-15.15,1.64,-18.3,7.89,-3.49,10,7.98,False
30,226.88,-22.17,-19.38,16.4,938.22,-3.76,-3.08,-10.35,9.8,-16.08,20.89,-8.24,80,,False
30,156.88,-20.88,-16.68,11.8,938.22,-4.77,-2.77,-11.04,10.45,-9.3,10.89,-11.64,210,,True
30,216.88,-18.63,-15.8,11.5,743.22,-5.73,-1.9,-9.81,9.5,-10.18,30.89,-11.94,520,9.35,True
3,206.88,-33.3,-26.6,0.96,311.22,1.92,-8.37,-13.02,0.89,-24.8,9.89,-3.77,100,8.24,True
3,208.88,-33.45,-25.82,0.04,350.22,-0.13,-7.76,-14.52,0.81,-21.32,9.89,-3.44,26,6.98,False
30,376.88,-22.92,-20.42,14.8,593.22,-2.84,-3.51,-8.01,13.15,-12.92,20.89,-7.54,370,6.86,False
3,172.88,-32.07,-29.96,1.3,281.22,-0.61,-7.01,-14.61,1.06,-19.92,7.89,-3.57,130,,True
30,176.88,-18.9,-18.14,14.8,833.22,-4.64,-2.63,-11.55,7.25,-7.8,20.89,-10.69,260,8.83,True
30,316.88,-23.34,-19.48,11,653.22,-3.81,-3.83,-8.04,10.25,-13.18,20.89,-8.79,180,7.37,False
3,206.88,-42.15,-27,1.7,251.22,2.24,-8.34,-14.28,1.17,-20.2,9.89,-3.77,26,,True
3,178.88,-34.08,-25.14,1.7,305.22,-0.95,-7.42,-19.17,0.39,-17.56,7.89,-3.64,52,8.06,True
30,156.88,-18.45,-17.4,18.6,698.22,-4.62,-3.18,-10.77,11.55,-14.46,20.89,-9.09,620,,True
30,306.88,-18.96,-17.02,14.7,443.22,-5.17,-2.31,-10.83,5.3,-10.28,20.89,-9.99,400,8.89,True
30,156.88,-21.96,-15.64,13.1,818.22,-5.8,-1.44,-13.62,7.5,-7.14,20.89,-12.34,430,8.93,True
3,152.88,-32.94,-27.9,1.14,242.22,1.73,-7.29,-15.27,1.17,-24.22,7.89,-3.39,60,,True
30,76.88,-28.14,-16.72,16.8,578.22,-4.65,-3.79,-11.88,7.65,-11.46,20.89,-8.74,190,7.87,True
3,156.88,-32.13,-28.4,0.72,338.22,0.57,-11.34,-19.29,1.57,-17.44,7.89,-3.83,70,9.01,True
3,196.88,-32.31,-28.46,0.24,296.22,1.76,-7.29,-13.08,0.2,-19.4,7.89,-3.7,10,7.57,False
30,46.88,-27.99,-17.58,10.6,353.22,-4.66,-4.8,-13.23,7.8,-10.04,10.89,-9.69,240,,False
30,106.88,-23.73,-20.78,12.4,848.22,-2.18,-3.8,-13.41,7.25,-14.98,10.89,-8.34,360,6.25,False
30,96.88,-27.6,-18.92,11.2,398.22,-3.99,-2.64,-12.69,5.65,-11.1,20.89,-8.69,290,,False
30,246.88,-20.46,-20.74,14.9,338.22,-5,-2.32,-10.14,7.8,-10.68,30.89,-7.99,200,,False
30,96.88,-20.07,-17.02,18.1,638.22,-3.55,-2.23,-14.28,12.4,-8.2,10.89,-8.84,650,,False
3,224.88,-32.67,-29.06,1.72,272.22,-0.48,-7.03,-12.06,0.61,-19.64,7.89,-3.52,4,9.21,True
3,146.88,-33.45,-25.06,1.98,329.22,0.21,-6.58,-19.26,1.55,-17.42,5.89,-3.47,2,,True
3,220.88,-33.21,-26.4,0.08,344.22,1.68,-11.94,-12.69,1.49,-18.52,7.89,-3.7,72,,False
3,218.88,-34.77,-25.52,0.3,257.22,-0.91,-8.13,-13.83,0.59,-19.4,7.89,-3.71,66,,False
30,346.88,-38.82,-20.64,13.4,818.22,-3.53,-2.97,-15.42,7.4,-10.74,30.89,-9.49,180,7.83,False
30,126.88,-18.81,-17.4,13.4,908.22,-4.64,-3.15,-15.69,10.5,-8.72,10.89,-11.84,550,,False
3,202.88,-35.07,-26.12,1.76,317.22,0.87,-6.53,-13.29,1.51,-20.78,7.89,-3.3,16,8.23,True
30,146.88,-25.8,-18.68,10.7,413.22,-5.17,-2.11,-19.35,6.25,-14.08,20.89,-9.69,590,,False
30,6.88,-20.52,-14.72,12.8,368.22,-5.46,-1.37,-19.92,7.2,-8.34,20.89,-11.39,700,7.48,False
30,136.88,-18.81,-18.2,11.4,338.22,-5.3,-1.14,-15.24,12.5,-7.86,10.89,-12.69,780,,True
3,184.88,-32.58,-32.22,1.74,287.22,-0.43,-6.47,-23.64,0.15,-21.04,5.89,-3.54,52,8.38,True
3,218.88,-32.25,-29.5,1.9,299.22,-0.56,-7.41,-12.96,1.66,-17.72,7.89,-3.81,28,9.38,True
30,296.88,-20.58,-17.26,13.6,503.22,-4.25,-2.22,-10.11,14.35,-9.4,20.89,-9.29,460,,False
3,198.88,-41.13,-29.06,1.3,362.22,1.37,-7.42,-15.06,1.07,-20.46,7.89,-3.58,108,7.09,False
30,56.88,-23.01,-20.88,18.4,878.22,1.78,-4.04,-14.64,5.35,-9.6,10.89,-8.49,530,,False
3,174.88,-38.55,-29.6,0.68,353.22,0.26,-7.28,-13.11,1.78,-21.12,7.89,-3.54,52,,False
30,36.88,-20.76,-17.76,12.3,578.22,-0.67,-3.14,-18.69,12.15,-10.04,20.89,-9.94,330,8.05,True
30,166.88,-25.08,-17.64,18.2,923.22,-4.8,-5,-14.73,5,-8.72,20.89,-9.04,430,,False
3,158.88,-34.5,-28.32,1.2,263.22,-0.33,-9.58,-13.62,0.7,-18.62,7.89,-3.66,10,9.88,True
30,76.88,-25.2,-18.64,10.7,488.22,-3.47,-4.37,-14.07,14.1,-12.34,10.89,-9.24,530,,False
30,96.88,-25.02,-23.6,14.3,773.22,-4.17,-4.34,-9.3,14,-13.32,20.89,-8.34,240,5.96,False
30,66.88,-21.12,-26.46,15.3,353.22,-5.88,-2.83,-14.1,14.3,-8,10.89,-10.64,480,9.97,True
3,218.88,-34.44,-26.18,1.9,356.22,-0.54,-6.79,-12.33,1.37,-21.36,7.89,-3.33,32,8.69,True
3,210.88,-31.8,-26.88,1.58,242.22,-0.9,-6.74,-11.85,1.43,-17.28,9.89,-3.51,14,,True
3,210.88,-34.62,-29.22,0.6,293.22,-0.39,-6.49,-16.2,0.36,-17.32,7.89,-3.64,2,,False
3,216.88,-32.55,-28.68,0.04,251.22,-0.54,-6.72,-17.43,1.76,-18.5,9.89,-3.47,140,,False
30,36.88,-18.63,-17.94,19.5,593.22,-5.19,-1.86,-18.36,9.8,-10.78,10.89,-9.09,200,9.24,True
30,56.88,-17.46,-15.74,14.9,368.22,-4.05,-2.39,-18.06,10.3,-7.78,20.89,-10.24,750,6.65,False
3,148.88,-34.17,-29.24,0.66,308.22,0.36,-7.52,-14.34,1.83,-17.7,5.89,-3.51,46,6.8,False
3,154.88,-32.31,-26.98,1.58,296.22,0.48,-6.41,-16.11,0.22,-17.84,7.89,-3.44,10,,True
3,148.88,-32.73,-27.52,0.84,347.22,1.75,-10,-13.41,1.87,-20.8,7.89,-3.75,102,,True
3,150.88,-32.37,-26.26,0.06,227.22,-0.47,-10.94,-15,1.26,-20.08,5.89,-3.83,40,8.99,True
3,220.88,-35.1,-28.74,1.12,314.22,0.33,-7.34,-12.51,1.77,-17.74,9.89,-3.27,12,,True
30,166.88,-24.21,-21.24,14.8,623.22,-4.42,-4.17,-12.54,12.55,-10.52,10.89,-8.39,610,7.07,False
30,56.88,-21.39,-18.58,18.9,668.22,-4.97,-2.08,-14.94,9.4,-12.72,10.89,-9.34,440,8.16,False
30,296.88,-21.93,-18.86,19.7,908.22,-4.47,-2.68,-8.85,6.8,-11.46,20.89,-7.79,90,,False
30,326.88,-18.21,-15.62,14.4,548.22,-2.86,-3.22,-11.43,6.05,-6.58,20.89,-12.04,500,7.97,True
30,126.88,-32.01,-16.36,13.5,443.22,-5.32,-3.51,-14.43,8.75,-8.2,10.89,-9.54,370,8.03,False
30,66.88,-25.59,-20.72,13.8,608.22,-3.87,-2.31,-12.51,9.4,-14.24,20.89,-8.99,460,6.23,False
3,196.88,-33.33,-27.56,0.18,251.22,0.64,-8.19,-14.43,0.78,-17.36,7.89,-3.64,14,7.28,False
30,276.88,-29.49,-16.84,15.6,608.22,-4.92,-5.5,-10.83,7.55,-10.42,20.89,-8.89,140,7.35,False
3,218.88,-32.19,-25.8,0.08,251.22,0.65,-6.78,-17.58,0.81,-20.44,9.89,-3.4,54,7.69,False
3,214.88,-32.94,-27.98,0.86,305.22,0.28,-8.02,-14.67,1.35,-17.46,9.89,-3.45,150,7.49,False
15,216.88,-21,-17.08,10.4,563.22,-5.68,-5.01,-11.43,7.9,-10.14,30.89,-9.99,500,,True
3,222.88,-32.64,-26.86,1.92,332.22,0.47,-8.86,-13.38,1.79,-18.5,9.89,-2.89,70,9.13,True
3,208.88,-33.42,-27.16,1.06,230.22,1.15,-8.27,-14.88,1.89,-17.54,9.89,-3.36,84,,True
3,210.88,-38.82,-25.32,1.02,266.22,-0.68,-6.49,-11.34,1.88,-18.92,7.89,-3.51,6,8.24,True
30,256.88,-20.76,-28.08,12.3,908.22,-3.77,-2.94,-11.28,8.9,-9.7,30.89,-10.04,120,,False
30,166.88,-25.44,-19.24,10.9,863.22,-3.94,-3.78,-13.17,7.4,-10.38,20.89,-10.04,550,6.4,False
30,86.88,-21.03,-18.48,10.1,668.22,-3.78,-2.6,-10.26,9.4,-9.72,20.89,-10.09,40,,False
3,168.88,-36.03,-27.28,1.8,317.22,-0.48,-7.68,-14.25,1.49,-20.08,5.89,-3.3,64,7.69,False
3,206.88,-33.78,-26.1,1.24,335.22,-0.14,-6.89,-17.55,0.58,-18.64,9.89,-3.14,10,,False
30,66.88,-27.39,-18.86,13,758.22,-2.66,-4.28,-16.62,5.3,-14.72,10.89,-8.44,190,6.9,False
3,188.88,-33.78,-29.14,1.22,326.22,-0.69,-6.65,-13.59,0.79,-21.16,9.89,-3.18,32,7.76,False
3,186.88,-32.7,-28.54,0.6,332.22,-0.11,-7.27,-12.54,0.03,-18,8.89,-3.63,2,7.07,False
30,246.88,-26.25,-19.54,12.7,548.22,-3.48,-3.34,-16.8,6.75,-11.6,30.89,-8.14,140,7.03,False
3,218.88,-32.16,-26.9,1.9,335.22,-0.59,-7.12,-11.88,1.7,-18.52,7.89,-3.19,16,,True
0,214.88,-33.9,-25.86,0.32,269.22,-0.78,-9.15,-17.13,1.52,-17.56,7.89,-3.58,104,,True
3,208.88,-36.3,-29.88,0.32,233.22,2.85,-13.19,-14.85,1.39,-20.8,9.89,-3.64,4,,True
30,346.88,-20.82,-19,10.7,773.22,-2.9,-3.54,-18.51,7.8,-10.8,20.89,-9.94,730,5.87,False
30,206.88,-21.18,-19.16,17.1,893.22,-5.24,-6.36,-10.59,6.1,-11.26,20.89,-9.94,260,,True
3,198.88,-36.87,-28.2,0.66,344.22,0.02,-8.48,-13.74,1.53,-17.98,9.89,-3.77,30,,True
3,210.88,-33.69,-25.24,1.58,242.22,-0.26,-6.92,-13.77,1.84,-18.3,9.89,-3.37,32,10.26,True
30,86.88,-17.22,-17.72,20.1,938.22,-4.72,-3.03,-13.38,10.25,-13.32,20.89,-10.79,640,8.74,True
30,306.88,-16.11,-19.62,20.7,608.22,-3.33,-1.2,-10.59,6.25,-9.32,30.89,-9.94,700,7.87,True
3,198.88,-34.5,-26.52,1.46,284.22,-0.68,-6.44,-14.37,0.15,-22.54,7.89,-3.52,66,8.5,True
30,76.88,-16.47,-15.66,17.7,308.22,-1.55,-1.3,-14.58,5.2,-7.6,10.89,-10.04,270,7.86,True
3,158.88,-35.64,-27.52,1.82,251.22,3.49,-6.47,-18.15,0.84,-18.12,7.89,-3.57,104,,True
3,224.88,-36.78,-28.14,1.52,260.22,1.77,-6.71,-12.18,0.34,-19.88,8.89,-2.92,0,,False
30,246.88,-24.18,-21.18,11.2,638.22,-0.36,-5.12,-8.1,13.85,-12.22,20.89,-7.84,270,7.97,False
30,196.88,-22.95,-18.5,13.6,593.22,-3.48,-3.02,-8.79,10.25,-11.02,15.89,-8.49,160,7.46,False
30,36.88,-20.58,-17.14,12.6,743.22,-4.8,-2.42,-20.52,5.3,-10.9,20.89,-9.94,260,5.43,False
3,212.88,-36.33,-26.88,1.28,263.22,-0.25,-8.85,-13.62,1.43,-19.14,7.89,-3.14,76,7.8,False
3,142.88,-35.04,-25.52,1.84,299.22,0.03,-8.6,-16.65,1.48,-21.98,7.89,-3.72,18,,True
3,188.88,-34.2,-25.42,0.8,254.22,-0.35,-7.23,-13.65,0.44,-18.6,9.89,-3.71,100,8.82,True
3,220.88,-32.49,-25.72,1.8,359.22,-0.38,-6.64,-14.52,0.11,-18.58,9.89,-3.55,124,8.92,True
3,166.88,-41.43,-27.58,0.64,308.22,2.91,-7.97,-23.01,1.92,-21.16,5.89,-3.33,28,,False
3,200.88,-35.13,-25.04,1.86,302.22,1.46,-6.72,-14.1,1.31,-20.66,9.89,-3.6,82,,True
30,106.88,-17.52,-21.16,11.3,728.22,-3.52,-5.25,-15.12,7,-8.08,10.89,-11.39,340,,False
30,86.88,-28.08,-17.14,11.2,293.22,-3.71,-4.71,-18.66,6.2,-8.1,20.89,-9.84,370,,False
30,76.88,-23.19,-18.44,12.2,368.22,-4.38,-3.01,-15.78,10.2,-11.96,20.89,-7.89,190,,False
30,186.88,-16.65,-17.62,11.5,638.22,-5.92,-2.43,-18.03,6,-8.6,10.89,-12.84,350,7.92,True
3,216.88,-35.46,-28.5,0.04,266.22,0.1,-8.99,-15.42,1.26,-22,7.89,-3.06,6,7.1,False
30,36.88,-16.89,-15.92,15.2,668.22,-5.33,-1.81,-15.09,8.85,-13.3,10.89,-11.24,690,7.81,False
3,192.88,-32.7,-26.34,1.02,302.22,1.2,-10.09,-15.06,0.84,-17.5,9.89,-3.79,88,9.49,True
30,46.88,-19.44,-17.34,17.4,548.22,-1.83,-2.54,-15.36,8.15,-9.54,10.89,-8.64,570,6.45,False
3,180.88,-35.43,-28,0.64,344.22,0.56,-9.15,-17.64,1.18,-19.7,5.89,-3.77,44,,False
3,196.88,-36.27,-25.36,1.98,245.22,-0.47,-6.54,-25.68,0.74,-19.4,7.89,-2.95,22,7.9,False
3,166.88,-33.99,-25.58,1.38,347.22,0.35,-6.47,-15.3,1.33,-20.68,5.89,-3.51,58,,False
30,16.88,-19.59,-21,13.8,833.22,-5.34,-3.72,-12.51,10.3,-13.78,20.89,-11.24,310,,True
30,216.88,-19.5,-16.7,19,233.22,-3.88,-4.58,-10.77,11.65,-8.54,30.89,-8.69,640,,True
30,56.88,-15.57,-16.1,20.1,473.22,-4.72,-3.59,-17.52,6.35,-9.08,10.89,-11.34,530,,True
30,326.88,-19.77,-17.8,18.6,398.22,-4.86,-8.67,-12.78,5.9,-11.9,30.89,-8.29,590,8.51,True
3,206.88,-36.96,-27.68,0.8,350.22,0.52,-8.03,-17.25,1.36,-18.32,7.89,-2.87,2,,False
30,176.88,-18,-16.02,16.7,503.22,-5.77,-3.03,-13.77,6.95,-11.54,10.89,-11.84,390,,True
3,168.88,-36.72,-30.9,1.42,254.22,0.34,-7.62,-16.44,1.24,-17.48,5.89,-3.14,26,,False
3,194.88,-32.04,-40.28,1.04,329.22,0.85,-6.58,-17.43,2.09,-19.78,9.89,-3.74,96,8.69,True
0,178.88,-32.82,-28.48,1.18,272.22,-0.3,-7.24,-18.33,1.86,-20.42,7.89,-3.01,98,8.28,False
30,156.88,-18.42,-16.44,12.1,383.22,-5.56,-2.98,-14.61,8.9,-10.22,20.89,-9.94,230,,True
30,176.88,-22.14,-16.18,16.6,803.22,-5.34,-1.84,-16.89,5.75,-13.7,10.89,-11.54,340,,True
30,286.88,-18.84,-16.96,18.1,593.22,-3.9,-3.52,-12.72,7.85,-9.1,20.89,-8.34,110,7,False
3,220.88,-34.86,-26.28,1.62,257.22,-0.4,-6.79,-14.46,0.3,-20.66,7.89,-3.78,66,,True
30,16.88,-23.1,-19.1,10.4,398.22,-1.02,-6.4,-20.25,14.3,-15.84,10.89,-7.94,590,,False
30,356.88,-25.68,-18.64,15.8,848.22,-2.15,-3.33,-9,6,-11.48,20.89,-8.14,390,,False
30,196.88,-20.64,-20.52,19.4,878.22,-4.04,-9.08,-9.96,9.8,-11.44,25.89,-8.24,430,,False
30,186.88,-20.01,-18.92,10.2,488.22,-4.97,-2.42,-11.01,5.05,-9,20.89,-10.89,30,,True
30,56.88,-20.76,-17.84,18.8,923.22,-4.56,-2.85,-22.11,9.75,-10.98,20.89,-7.99,110,,False
3,188.88,-32.13,-27.56,1.66,269.22,-0.4,-10.98,-12.87,1.76,-17.1,7.89,-3.65,36,9.51,True
30,66.88,-19.71,-15.84,14.1,863.22,-4.45,-2.52,-17.13,11.9,-7.92,10.89,-10.79,620,7.88,False
30,216.88,-20.19,-18.08,15.9,428.22,-4.04,-2.18,-10.59,10.45,-12.3,30.89,-9.64,560,9.15,True
30,176.88,-15.51,-17.56,10.5,278.22,-5.95,-1.67,-16.68,8.45,-6.7,10.89,-12.54,510,9.58,True
0,210.88,-34.59,-27.1,1.64,365.22,0.62,-8.11,-12.15,1.84,-19.98,9.89,-3.31,116,8.33,False
30,246.88,-23.28,-17.52,10.7,503.22,-5.51,-1.84,-16.23,6.05,-8.12,20.89,-10.59,700,7.42,False
3,222.88,-35.79,-25.48,0.64,242.22,1.16,-7.06,-13.41,0.81,-18.5,9.89,-3.5,24,9.45,True
30,276.88,-19.44,-16.8,14.6,788.22,-2.37,-3.98,-10.38,10.9,-9.34,20.89,-9.59,500,,False
30,316.88,-25.86,-20.6,15.4,878.22,-2.69,-1.9,-11.76,9.55,-8.4,20.89,-10.74,760,8.5,True
3,198.88,-34.68,-25.8,1.04,365.22,1.2,-7.19,-12.75,1.83,-17.38,9.89,-3.69,16,,True
3,228.88,-34.11,-27.28,1.7,287.22,0,-7.89,-13.38,1.09,-22.1,7.89,-3.49,8,8.48,True
30,6.88,-21.3,-16.5,17.9,788.22,-5.05,-2.86,-12.93,14.25,-11.7,20.89,-8.99,710,,False
3,180.88,-36.78,-25.32,1.86,335.22,2.07,-7.32,-16.53,1.05,-17.54,5.89,-3.48,44,8.45,True
30,156.88,-28.5,-20.6,13,608.22,-2.46,-3.82,-11.25,6,-10.88,20.89,-8.49,180,,False
